Data,Spam
"Best wishes,",0
[Your Post 1],0
Free access,1
Thank you for signing up for [your company name]â€™s news center. Weâ€™ll be updating you on occasion about [products/services you offer] and other updates about [your company].,0
Accept credit cards,1
"If you need any further explanation or assistance, please reach me anytime at [contact telephone number].",0
Only $,1
Talks about hidden charges,1
Copy accurately,1
Potential earnings,1
[Footnote with company details],0
Free offer,1
Online biz opportunity,1
Cash bonus,1
[Your email signature],0
Gift certificate,1
[Your email signature],0
Direct email,1
Offer ends on [date].,0
Big bucks,1
[Your email signature],0
"Hi [guest name],",0
Learn more >>,0
Unsubscribe,0
[Your email signature],0
[Button or link to progress bar/visual representation inside the email],0
Billion dollars,1
Save big money,1
Order now,1
No claim forms,1
Weâ€™re so glad to have you on board.,0
Hereâ€™s a roundup of the last weekâ€™s [articles/blog posts].,0
[Benefit #2],0
Investment decision,1
Stainless steel,1
My name is [your name]; Iâ€™m the founder of [name of your business].,0
"Iâ€™ve been following your company for a while, and it looks like youâ€™re trying to [explain a specific goal or pain point of the prospective client].",0
Compare rates,1
[Your email signature],0
Pure profit,1
"This is a friendly reminder that payment on invoice [invoice number], which we sent on [date invoice was first sent out], is due today.",0
email address,0
[A few words about the speaker and what value their talk will bring to attendees],0
[Name of venue and location],0
"Best wishes,",0
[Company address],0
We just wanted to check in to make sure youâ€™re not missing out on [name of product or service]â€™s most powerful features.,0
Buying judgments,1
One hundred percent free,1
"I tried giving you a call and left you a voicemail, as I thought it might be useful to quickly speak and learn a bit more about what you hope to get from [product/service name].",0
For instant access,1
For free,1
Bill,1
Subscription â€” $XXX,0
_______________________________,0
Subject to credit,1
Refinance home,1
"Kind regards,",0
This will be fun! Pinky promise.,0
"Also, here is the link you can share with your audience: [link to the episode]",0
[Footnote with company details],0
Claims to be legal,1
Please do not hesitate to get in touch should you have queries or require any further assistance.,0
Dear friend,1
"If youâ€™re interested, here are two articles Iâ€™ve written within the same niche:",0
"My name is [your name], and Iâ€™m the founder of [name of your business]. Weâ€™ve been around for [number of years], and have a growing audience within the [niche name].",0
Click to remove mailto,1
Billing date: mm/dd/yyyy,0
Looking forward to hearing from you!,0
View your current progress:,0
"Looking forward to hearing from you,",0
You can send your questions to [email address for questions/online form].,0
The offer will be active for ,0
"Welcome to [company name], and thank you for signing up! Please enjoy [discount amount] off your first purchase at [URL to website]. Just enter [discount code] at checkout.",0
"If for any reason you wish to cancel your appointment, please let us know at least 24 hours before the appointment.Â ",0
Is there a good time for you in the next few days to chat? You can book a time slot in my calendar here: [Meetings link],0
Free money,1
[Purchase tickets button],0
Name brand,1
[Link to download the freebie],0
"[Your blogâ€™s tagline, if any]",0
Free leads,1
Laser printer,1
Save $,1
Auto email removal,1
[Your email signature],0
No selling,1
[Register button],0
Free consultation,1
Just reaching out to thank you again for your time on the [date when the interview was recorded]. I had the best time conversing with you and learning about the [particular topic you discussed].,0
Casino,1
Removes wrinkles,1
Join Us,0
"A few of our teammates here at [company name] have been following your work for a while, and we agreed that youâ€™d [explain why theyâ€™d be a good fit as an influencer].",0
"This is what one of our clients said about [name of product/service], [customer name, job role, and company]:",0
[Description of the product/why you chose to make it/a bit of backstory],0
[Your email signature],0
One time mailing,1
Here are some of the perks of joining [name of loyalty program]:,0
"Hi [customerâ€™s name],",0
Profits,1
Enjoy!,0
[Map of the venue location],0
"Hi [name of prospect],",0
Who really wins?,1
[Name of product],0
Please let me know if youâ€™d like to work together or if you have any additional questions!,0
Your [name of company] team,0
The best rates,1
"Hi [subscriberâ€™s name],",0
Satisfaction guaranteed,1
Cancel at any time,1
[Set preferences button],0
Reverses aging,1
INVOICE,0
Free quote,1
 more days.,0
"Hi [subscriberâ€™s name],Â ",0
"This is great timing, because weâ€™re working on growing our testimonials here at [name of company]. I would love to feature your company and project on our website.Â ",0
This week at [name of your site/blog],0
"Dear [Mr./Ms. last name],",0
Thank you for reaching out to learn more about [company name]!Â ,0
Talks about prizes,1
"Hi [name of client],",0
I have some new post ideas I think your readers would love to read. Are you currently accepting guest posts?Â ,0
"We can take a hint. But if you want to come back, you can always re-subscribe with the button below.",0
[Photo of the product],0
I wanted to share a post with you that I have written [blog post title and URL].,0
Itâ€™s [your name] here. Thank you for purchasing [name of product/service]! It really means a lot to me.,0
[Your email signature],0
Opportunity,1
Thank you for your purchase.,0
"If you have any questions, please feel free to reach out to us at any time on [contact information].",0
Iâ€™m reaching out to check whether youâ€™re accepting guest contributions on your blog? Iâ€™ve been following your blog for a while and love the quality of your content.,0
Find out anything,1
] or [telephone number].,0
Expect to earn,1
[name and clickable picture of the product],0
Risk free,1
They keep your money â€” no refund!,1
[Benefit #2],0
[Title and URL to the article],0
[CTA button],0
[Short description],0
Direct marketing,1
"Best wishes,",0
Addresses on CD,1
Serious cash,1
[Description of the event: what value will it bring to attendees?],0
[Name of speaker],0
"My name is [your name] from [company or website name]. Iâ€™m working on a roundup of expert opinions for my agencyâ€™s blog about [topic of the article], and I think youâ€™d be a great fit!Â ",0
No credit check,1
 â€” no further actions required.,0
Free membership,1
No gimmick,1
"Best wishes,",0
"If youâ€™re interested, please find the link to our submission form here: [URL to testimonial submission form]",0
Fast Viagra delivery,1
I would love to stay in touch for future collaborations.,0
Weâ€™d like to make sure that the content you receive from [your companyâ€™s name] is valuable and useful to you.,0
"You may find it useful, as itâ€™s very relevant to your post. I would love to know what you think of it.",0
Need to make any last-minute changes to your appointment?,0
Iâ€™m [your name] from [name of company].,0
Iâ€™m [your name] from [your company name]. Weâ€™re [explain your business in a few words] that specializes in [name of niche] to .,0
"If youâ€™re interested in participating, Iâ€™m asking experts like you: [question related to your article]",0
What are you waiting for?,1
You have been selected,1
[Your email signature],0
Long distance phone offer,1
"Hi [first name],",0
"Again, itâ€™s been a pleasure working with you and your team, and I look forward to hearing from you about this soon!",0
"Kind regards,",0
Compete for your business,1
Claims you registered with Some Kind of Partner,1
"By the way, did you know about all the exclusive perks you can receive for joining our loyalty program? Just to name a few â€¦",0
"My name is [your name]; Iâ€™m a [job title] at [company name]. We operate in the same industry as [clientâ€™s company name], and I wanted to reach out to you about [your company name].",0
Join today! [Link to loyalty program sign-up],0
Free hosting,1
Happy New Year!,0
Thereâ€™s no obligation to sign up after the call; itâ€™s simply there for you to learn more.Â ,0
"If you want to stay connected, please take a moment to review and update your email preferences.",0
"Hi [name of prospect],",0
So this is one last email from us.,0
Mortgage rates,1
Cannot be combined with any other offer,1
Sent in compliance,1
[Your email signature],0
Reserves the right,1
4U,1
"A feature you upvoted is finally here, and itâ€™s making [name of your product] even better.",0
"Please make the payment to the bank account specified on the invoice, which is [bank details for transaction].",0
[Short description],0
Avoid bankruptcy,1
Serious only,1
Stock alert,1
Orders shipped by priority mail,1
"Dear [candidate name],",0
Let us know if you have any questions or concerns regarding the invoice.,0
"Hi [name of email recipient],",0
Unsubscribe,0
[Your email signature],0
Free priority mail,1
"In this [lead magnet type], you will learn [description of what the prospect will learn from the lead magnet].",0
"I noticed that you havenâ€™t yet downloaded the [name of lead magnet] I sent. Iâ€™m sending it again, in case it got lost in your inbox.",0
[Your email signature],0
In accordance with laws,1
Being a member,1
Check or money order,1
"[description of the special offer, such as 50% off a book set]",0
Stock disclaimer statement,1
Hidden assets,1
"To make changes to your appointment, get in touch at [telephone number] or respond to this email.",0
No inventory,1
Viagra and other drugs,1
[photo of the product],0
"Dear [clientâ€™s name],",0
There are plenty of reasons to continue certification:,0
Please read,1
"If youâ€™re unfamiliar with [company name], our solutions help businesses in [prospect companyâ€™s niche] with three main goals:",0
"Thanks for your time, and Iâ€™m looking forward to discussing this with you further.Â ",0
Additional income,1
[Your email signature],0
[Link to view it],0
Your [credit card/account credit] has been successfully charged $XXX for [name of product or service]. You can also find a copy of this statement in [attachments/clientâ€™s account Receipts section].,0
Amazing,1
Offers coupon,1
Fantastic deal,1
Consolidate debt and credit,1
[Article #2 name],0
[Your email signature],0
Hi [prospectâ€™s name],0
Looking forward to hearing from you!,0
Lower interest rates,1
Increase traffic,1
"Best wishes,",0
Great offer,1
"Hi [prospect name],",0
Your [companyâ€™s name] team,0
[Week time frame],0
Unsecured credit or debt,1
Place an order now and get [cross-sales product] XX% off.,0
No questions asked,1
"Dear [prospectâ€™s name],",0
[Your first name] here from [company name]. I saw that you were checking out [product name] and wanted to give you a quick call after researching [prospectâ€™s company name].Â ,0
Round the world,1
P.S. Here are some articles I thought might be helpful:,0
"Hi, [name of client].",0
Copy DVDs,1
[Button that links to email preferences center],0
Luxury car,1
No middleman,1
"If you do publish content from guest authors, I would love to be one of them! If youâ€™re interested, here are some topics I could write about:",0
[Your email signature],0
We honor all,1
Call free,1
Cable converter,1
I wanted to reach out and let you know that itâ€™s been a pleasure working with you on [name of project]!,0
"Hi [prospectâ€™s name],",0
Iâ€™d like to tell you more about [your company name] and get to know you a bit better.,0
This monthâ€™s feature is [article name].,0
"Dear [prospectâ€™s name],",0
[Tagline],0
"Kind regards,",0
[Re-subscribe/email preferences button],0
Free DVD,1
No fees,1
You can submit a video in about five minutes. Please feel free to share any details about the project and your overall experience working with us.,0
As seen on,1
The episode will go out on the [publishing date] on [name platforms: iTunes? YouTube? Your website?].,0
Meet the new [product name],0
[Your email signature],0
Mail in order form,1
[Schedule by day],0
Score with babes,1
[Link to online shop],0
More Internet traffic,1
"If you have any questions, please donâ€™t hesitate to get in touch.",0
Not intended,1
Get paid,1
Be your own boss,1
Free trial,1
Click to remove,1
[Get the product button],0
Stuff on sale,1
"Best wishes,",0
Money making,1
Gearing up for a kitchen reno?,0
[Your email signature],0
"Best,",0
Hereâ€™s the [freebie] you requested.,0
Free sample,1
Lower monthly payment,1
Whatâ€™s your cup of brew?,0
Insurance,1
Please download the resource here: [link to lead magnet],0
Thank you for signing up for the [name of the lead magnet].,0
Special promotion,1
Outstanding values,1
"Best wishes,",0
"â€œ[client testimonial, no more than two sentences].â€",0
"Hey [prospectâ€™s name],",0
"Thanks,",0
[Your email signature],0
"We have already been featured in respectable publications like [1], [2]â€¦",0
[Link to post/article],0
"Most of our successful users will have a quick setup call, just like this, to get things started in the right direction.",0
Meet singles,1
"As a partner, you would, of course, earn a commission for each customer you bring to us.",0
[Date of event],0
"Best wishes,",0
"Hi [name of client],",0
Thank you for registering with [your company]. You can now claim your free [product/service/tutorial/other registration reward].,0
Free grant money,1
"Best,",0
No medical exams,1
See for yourself,1
Theyâ€™re just giving it away,1
Looking forward to hearing from you!,0
Remove subject,1
Offers free,1
Strong buy,1
Bulk email,1
Welcome to [your companyâ€™s name].,0
"And to thank you for sharing your email address, weâ€™re going to make your inbox a lot more interesting!",0
This isnâ€™t junk,1
Your Account ID: XXXX,0
Offer expires,1
[Short description of what itâ€™s about],0
Stay tuned for more details.,0
Real thing,1
All natural,1
[Your name],0
While you sleep,1
Drastically reduced,1
"Itâ€™s great to have you onboard, and weâ€™re looking forward to hearing from you soon!",0
Update the app to start using it!,0
[Tagline],0
Cheers!,0
Cashcashcash,1
Letâ€™s discuss a partnership further. Please reach me at [telephone number]. I look forward to hearing from you!,0
Unsubscribe,0
Tells you itâ€™s an ad,1
Credit card offers,1
Hereâ€™s to you!,0
[Topic 3],0
Winning,1
We noticed you were interested in books on the topic of kitchen renovation and decor and wanted to tell you about the special deal that is on right now:,0
Social security number,1
Free cell phone,1
Need help getting started with [name of product or service]?Â ,0
Please let me know if youâ€™re interested in participating! Our intent here is to create some highly actionable content for our audience from experts in the industry.,0
"Hi [name of prospect],",0
[Your email signature],0
We hate spam,1
Supplies are limited,1
I am a huge fan of your site [name of their website] and have been enjoying your recent content!,0
Stock pick,1
Just a few things before you start using it:,0
[Article #1 name],0
Do it today,1
"Best wishes,",0
email address,0
US dollars,1
"Best wishes,",0
Lose weight spam,1
[Name of event],0
Who doesnâ€™t like a discount?,0
"Best wishes,",0
[Your email signature],0
Have a question? Weâ€™re here to help. Contact us today at [,0
Calling creditors,1
"If you no longer wish to receive correspondence from us, you can check the box [unsubscribe from all].",0
[Your email signature],0
Iâ€™m just quickly following up on my email from [date you sent the original email]. I would love to set up a call and introduce you to [company name]. Do you have 30 minutes anytime early next week that would work?,0
Safeguard notice,1
Marketing solutions,1
No experience,1
"Hi [customerâ€™s name],",0
"Best wishes,",0
Produced and sent out,1
"Please let me know, and Iâ€™ll send over my podcast calendar so you can choose a time that best suits you.",0
Month trial offer,1
"My name is [your name], and I host [your podcast name], a podcast about [describe what your podcast is about in a few words].",0
Shopping spree,1
Iâ€™d love to show you how we can do the same for your company. Do you have some time this week for a quick call?,0
[your name],0
This isnâ€™t spam,1
Print out and fax,1
Buy direct,1
Call now,1
Claims you are a winner,1
[Button that links to email preferences center],0
Billing address,1
Dig up dirt on friends,1
University diplomas,1
Human growth hormone,1
Money back,1
"[Description of notable features, highlight benefit(s) and/or use cases]",0
Would you be open to an initial conversation to see whether we could help you overcome [business challenge]? Weâ€™ve worked with companies like [name one to two relevant clients] on similar challenges and managed to help them [describe the results you helped past clients achieve].,0
"If youâ€™re interested in learning more about [name of product or service], please check out our free tutorials here: [URL to tutorials]. Our community swears by it, and we think youâ€™ll dig it, too.",0
"My name is [your name], and Iâ€™m a recruiter/the hiring manager. I would like to have a phone discussion about your application for the role.",0
"All the best,",0
Apply Online,1
Full refund,1
"Hey [first name],",0
_______________________________,0
Home employment,1
[Featured image or a gallery of related images],0
Our [product/service] helps [describe one or more of its most powerful benefits]. Claim your XX% off and start reaping the benefits.,0
[Button to join event],0
Winner,1
People just leave money laying around,1
The following form,1
"Thanks,",0
Are you ready to continue learning in [name of course/workshop/etc.]?,0
"I was just reading your article, [title of blog post]. Itâ€™s both well-written and filled with value. I especially like how you [specific details about the blog post].",0
Get It Now,1
AGENDA,0
Please review your experience with [service/product].,0
] or [telephone number].,0
You forgot something in your cart.,0
"If you have any questions about your purchase, please get in touch. Weâ€™ll get back to you in [ASAP/response time of your support team].",0
[Footnote with your address and other company details],0
Are you free anytime soon for a call to discuss how we might help you achieveÂ  [prospect companyâ€™s goal]?,0
"Weâ€™re excited to announce the launch of our new [name of loyalty program]. Weâ€™ve added lots of exciting and exclusive rewards to say thank you to our amazing customers, like you!",0
No disappointment,1
Sign up free today,1
"Best wishes,",0
"Hi [first name],",0
"Hi [subscriberâ€™s name],Â ",0
[Photo of speaker],0
[Topic 2],0
[Your email signature],0
"Let us know if you require any assistance or have any questions, and we will sort it out for you ASAP.Â ",0
Let us know what you like to see the most. It will only take a minute.,0
Email marketing,1
"We work with companies like yours on [clientâ€™s business objectives], helping them to [expand on how product/service can help the client reach business objectives.]",0
We look forward to having you!,0
"Best wishes,",0
Free website,1
Free investment,1
Cures baldness,1
"Dear [name of customer],",0
"Hi [subscriberâ€™s name],",0
"Dear [name of attendee],",0
For just $,1
Stop snoring,1
"Hi [customer name],",0
Thank you so much for your query regarding [companyâ€™s name]!Â ,0
[Name of product],0
[Topic 1],0
If only it were that easy,1
Multi level marketing,1
"I came across your work on [website name or social media handle], and I would love to invite you as a guest on my show. In fact, it would be a real honor!",0
This freebie [describe how the perk is going to help/what theyâ€™re going to get out of it],0
"In response to your question, the total cost for [name of product or service] is [cost of product or service]. I have attached a detailed brochure for our [name of product or service].",0
Unsubscribe,0
[Name of blog post],0
Weekend getaway,1
Iâ€™m reaching out to remind you that the balance of [invoice balance] on your latest invoice is due [due date of payment].,0
[Your email signature],0
Message contains disclaimer,1
Donâ€™t delete,1
Once in lifetime,1
"Best wishes,",0
I know youâ€™re careful with choosing the companies you work with. Thatâ€™s why I wanted to get in touch and let you know that [describe how your product/service can provide a lot of value to the prospectâ€™s audience].,0
[Your email signature],0
"Hi [name of subscriber],",0
Removal instructions,1
No strings attached,1
[Description of what readers are going to gain from reading the article],0
"While I have you, I thought you might find some interest in our work with [client name]. We helped them achieve [business objective], which resulted in [result of the work, ideally a percentage or easy-to-digest figure]. You can read the whole story here: [Provide case study link]",0
[Place a dynamic form with stars or rating and a box for a written review.,0
"Our [name of lead magnet] has helped many people like yourself. If youâ€™re interested in finding out more, please find our case study here: [link to case study].",0
One hundred percent guaranteed,1
Please let us know if you have any questions! Feel free to email us at [customer support ,0
[Your email signature],0
"I look forward to hearing from you, and thanks again for your interest in us!Â ",0
Be amazed,1
â€¦Â ,0
"Strap in for fun tips and tricks, exclusive deals, and event invites.",0
Online pharmacy,1
Thanks for your kind words about [project name]! It has been a real pleasure working with you and your team.,0
[Your email signature],0
Easy terms,1
"Weâ€™re launching something exciting [next week/exact date], and we think youâ€™ll love it.",0
While supplies last,1
Some of the ideas I have include:,0
Take action now,1
Urgent,1
"Dear [name],",0
[Photo of the product],0
Pennies a day,1
Cell phone cancer scam,1
Claims to be in accordance with some spam law,1
"Hi [name of prospect],",0
I know my listeners would be very interested in hearing more about [mention a project your desired guest has done or is working on].,0
It's effective,1
Mass email,1
AGENDA,0
"Hi [potential guest name],Â ",0
[Footnote with company details],0
You can submit your video testimonial in around five minutes. Please follow this link [link to testimonial landing page] on your laptop or smartphone and record a few details about our project and your experience working with us.,0
Work at home,1
Please find [name of lead magnet] here: [link to lead magnet],0
Dear somebody,1
"Hi [clientâ€™s name],",0
Financial freedom,1
Unsubscribe,0
Check out our social media account ðŸ™ƒ,0
Remove,1
"Best wishes,Â ",0
Opt in,1
New customers only,1
"Hi [first name],",0
[Link to loyalty program sign up],0
[your email signature],0
Your [name of the appointment type] appointment is confirmed for [date of the appointment].,0
Dear email,1
Terms and conditions,1
"If you have any questions or concerns, please get in touch.",0
Different reply to,1
Vacation offers,1
Credit bureaus,1
"If you have any trouble [using/opening your purchase/downloading the manual], please get in touch.",0
Title #2: â€¦Â ,0
Learn more >>,0
Off shore,1
Order status,1
Title #1: â€¦,0
"Hi [name of client],",0
Why pay more?,1
Unlimited,1
Requires initial investment,1
No obligation,1
[Link to post/article],0
[Your email signature],0
Would you be available for a short introductory phone call on [provide a time and date]?,0
MLM,1
Cents on the dollar,1
Promise you,1
"Best wishes,",0
Offers extra cash,1
This is a confirmation of your appointment with [name of specialist] on [date and time of the appointment]. Please find attached to this email the directions and a map to our facility.,0
"Best wishes,",0
No purchase necessary,1
"Thanks,",0
"Thanks again,",0
"Thanks in advance,",0
Hereâ€™s how it works:,0
[Claim your discount button],0
[Benefit #3],0
Unsubscribe,0
[Claim your reward button],0
"Hi [name of prospect],",0
"Dear [name of client],",0
Member stuff,1
[Benefit #1],0
[Button linked to the featured article],0
"Kind regards,",0
[Your Post 2],0
Get started now,1
No investment,1
Thank you for applying to [your company name] for [position name].,0
Wants credit card,1
Section 301,1
Goodbyes are the worst.,0
[Your email signature],0
Increase sales,1
"I have been reading your articles on [website name of email recipient], and I think theyâ€™re great! You provide a lot of helpful tips on [name of niche], so I mentioned them in a recent article I wrote:",0
[Subscription details],0
"Best,",0
Print form signature,1
Limited time only,1
"Hey [user name],",0
[Your email signature],0
[Benefit #3],0
Act now! Donâ€™t hesitate!,1
"Thank you for your continuous support. This [year] has been a success, and we look forward to many more years of this great relationship.",0
Join millions of Americans,1
Will not believe your eyes,1
Canâ€™t live without,1
Have you been turned down?,1
Guarantee,1
No catch,1
"When we complete projects with terrific clients like yourself, we like to finish up with a testimonial to feature on our website. I was wondering whether you might be willing to share your thoughts on the project with us. We will be adding this to our website. You can find examples of other features on our page here:Â  [link to testimonials]",0
Free installation,1
Interviews are typically [average podcast length] and are conducted [explain whether itâ€™s online or offline]. Would you be interested in this?,0
Claims not to be selling anything,1
New domain extensions,1
Itâ€™s a sunny day in the history of [company name].,0
Here are a few suggestions to help you get started:Â ,0
Nigerian,1
"Just a reminder that [name of event] will begin on [day of the week, date, time frame, time zone].",0
Weâ€™re constantly trying to improve our [products/services].,0
No cost,1
Looking forward to meeting you there!,0
Click below,1
___________________________________________________________________,0
Please find the invoice here: [invoice link].,0
Brand new pager,1
Congratulations,1
Earn per week,1
Click here link,1
Eliminate bad credit,1
"If youâ€™re interested, please book a timeslot here: [Meetings link]. And let us know a telephone number that one of our experts can reach you on.Â ",0
Confidentially on all orders,1
"Hi [name of client],",0
Watch presentation >>,0
Email harvest,1
Every day is a happy day.,0
Save up to,1
No age restrictions,1
Weâ€™re looking forward to hearing from you soon!,0
Reply remove subject,1
[Complete your purchase button],0
Free preview,1
"I was wondering if you could please check it out and provide some feedback? You have a lot of experience in this area, so your feedback would be very appreciated.",0
"The best way to find out more about [name of product or service] is to set up a free consultation with us. In the consultation, youâ€™ll receive [description of what the prospect receives during free consultation].",0
"Hi [subscriberâ€™s name],Â ",0
Lowest price,1
Discusses search engine listings,1
[Benefit #1],0
